Sensor,Timestamp,X,Y,Z
Accelerometer,7005223270,-3.1627405,-4.0773253,6.694188
Accelerometer,7005223317,-3.0478187,-3.9743748,6.8569937
Accelerometer,7005223334,-2.8682537,-3.6296098,6.991069
Accelerometer,7005223347,-2.8682537,-3.6296098,6.991069
Accelerometer,7005223363,-2.8682537,-3.6296098,6.991069
Accelerometer,7005223365,-2.8682537,-3.6296098,6.991069
Accelerometer,7005223383,-2.861071,-3.5482068,7.0245876
Gyroscope,7005223384,0.9518138,-0.03222425,-0.6165218
Accelerometer,7005223396,-2.8514943,-3.3494883,7.1826053
Accelerometer,7005223402,-2.815581,-3.1890767,7.419631
Accelerometer,7005223411,-2.6862943,-3.2130187,7.752425
Accelerometer,7005223414,-2.6384103,-3.4332852,8.032547
Accelerometer,7005223416,-2.6743233,-3.4356794,8.372523
Accelerometer,7005223418,-2.7102363,-3.2704794,8.499416
Gyroscope,7005223419,0.8383631,-0.15233281,-0.70840085
Accelerometer,7005223430,-2.765303,-3.0095115,8.528147
Accelerometer,7005223431,-2.8107927,-2.6599581,8.571242
Accelerometer,7005223434,-2.6719291,-2.4037786,8.492233
Accelerometer,7005223436,-2.5785553,-2.1787236,8.487445
Accelerometer,7005223447,-2.6001031,-2.0709844,8.578424
Accelerometer,7005223449,-2.6024973,-1.9273324,8.549694
Gyroscope,7005223450,0.7707188,-0.19787288,-0.65726817
Accelerometer,7005223453,-2.566584,-1.8267759,8.494628
Accelerometer,7005223458,-2.5737667,-1.7118542,8.597578
Accelerometer,7005223461,-2.5450363,-1.7429788,8.678981
Accelerometer,7005223463,-2.5258827,-1.7908629,8.798691
Accelerometer,7005223464,-2.5187001,-1.9512744,9.0716305
Accelerometer,7005223466,-2.5474305,-2.1380222,9.32781
Gyroscope,7005223467,0.515588,-0.20532973,-0.77897465
Accelerometer,7005223469,-2.5330653,-2.2290018,9.514558
Accelerometer,7005223474,-2.4636335,-2.1523874,9.696517
Accelerometer,7005223477,-2.4420857,-1.9321208,9.569624
Accelerometer,7005223479,-2.3798366,-1.5705963,9.3661175
Accelerometer,7005223482,-2.2122424,-1.2378023,9.232041
Accelerometer,7005223483,-2.042254,-1.0534488,9.131485
Gyroscope,7005223485,0.44874266,-0.21758026,-0.72970617
Accelerometer,7005223487,-1.8698715,-1.0869676,9.227253
Accelerometer,7005223489,-1.7932571,-1.1755531,9.334992
Accelerometer,7005223490,-1.7525556,-1.0726024,9.507375
Accelerometer,7005223493,-1.6950948,-1.0366893,9.782708
Accelerometer,7005223494,-1.5945383,-1.0965444,9.935937
Accelerometer,7005223497,-1.4652514,-1.2569559,10.160992
Gyroscope,7005223498,-0.05006743,-0.17310548,-0.7283746
Accelerometer,7005223501,-1.340753,-1.5586253,10.469844
Accelerometer,7005223503,-1.2042835,-1.7262194,10.70687
Accelerometer,7005223504,-1.1085154,-1.6376339,10.898406
Accelerometer,7005223506,-1.0606314,-1.448492,10.766725
Accelerometer,7005223517,-1.0749966,-1.2066777,10.608707
Accelerometer,7005223526,-1.1061212,-0.8619126,10.3453455
Gyroscope,7005223528,0.3006709,-0.05273059,-0.44474792
Accelerometer,7005223529,-1.1587936,-0.4261679,10.141838
Accelerometer,7005223534,-1.2042835,-0.050278235,10.012551
Accelerometer,7005223543,-1.1971009,0.07182605,10.077195
Accelerometer,7005223544,-1.127669,-0.019153614,10.024523
Accelerometer,7005223548,-1.0606314,-0.15562311,10.189722
Accelerometer,7005223553,-1.0989386,-0.39025488,10.3453455
Gyroscope,7005223561,-0.018375812,0.11265171,-0.39388153
Accelerometer,7005223563,-1.1923125,-0.47405192,10.469844
Accelerometer,7005223643,-1.2258313,-0.4333505,10.409989
Accelerometer,7005223649,-1.3096284,-0.23702596,10.34774
Accelerometer,7005223655,-1.4173675,-0.12210429,10.25676
Accelerometer,7005223658,-1.5873557,-0.1340753,10.067618
Accelerometer,7005223663,-1.769315,-0.055066638,10.012551
Gyroscope,7005223667,0.00958738,0.170176,-0.18242654
Accelerometer,7005223672,-1.9297266,-0.035913024,9.962274
Accelerometer,7005223675,-1.9991584,-0.10534488,9.921572
Accelerometer,7005223680,-2.0853498,-0.21068975,9.957485
Accelerometer,7005223684,-2.078167,-0.36870706,9.969456
Accelerometer,7005223687,-2.099715,-0.50038815,9.974244
Accelerometer,7005223692,-2.1188686,-0.62967503,9.916783
Gyroscope,7005223696,0.11930962,-0.022370555,-0.10040118
Accelerometer,7005223700,-2.0470424,-0.5554548,9.706094
Accelerometer,7005223703,-1.9632454,-0.44532153,9.562442
Accelerometer,7005223707,-1.8626889,-0.49320555,9.399636
Accelerometer,7005223712,-1.7884687,-0.58657944,9.263166
Accelerometer,7005223790,-1.7812861,-0.6967127,9.234436
Accelerometer,7005223814,-1.7764976,-0.91697925,9.205706
Gyroscope,7005223823,0.036485307,-0.03089267,-0.15286545
Accelerometer,7005223828,-1.7812861,-1.0726024,9.270349
Accelerometer,7005223832,-1.8076223,-1.1228806,9.356541
Accelerometer,7005223842,-1.8339585,-1.0175357,9.339781
Accelerometer,7005223849,-1.8459295,-0.81642276,9.370906
Accelerometer,7005223859,-1.8219875,-0.6823475,9.275137
Accelerometer,7005223863,-1.8363527,-0.62249243,9.215282
Gyroscope,7005223874,0.11957593,0.019707393,-0.17044231
Accelerometer,7005223879,-1.8052281,-0.6919243,9.239224
Accelerometer,7005223883,-1.7741034,-0.8403648,9.210494
Accelerometer,7005223891,-1.7717092,-1.0247183,9.349358
Accelerometer,7005223894,-1.8291701,-1.2258313,9.411607
Accelerometer,7005223897,-1.8746599,-1.3814543,9.449914
Accelerometer,7005223906,-1.9033904,-1.5490485,9.52174
Gyroscope,7005223911,-0.10146644,0.039414786,-0.23595607
Accelerometer,7005223914,-1.8890251,-1.6543933,9.65821
Accelerometer,7005223923,-1.8243817,-1.7645266,9.718064
Accelerometer,7005223928,-1.8076223,-1.8339585,9.734824
Accelerometer,7005223942,-1.7717092,-1.7286136,9.698911
Accelerometer,7005223961,-1.6807296,-1.7286136,9.586384
Accelerometer,7005223974,-1.6519991,-1.8100165,9.332599
Gyroscope,7005223994,-0.13289174,-0.029028457,-0.09347696
Accelerometer,7005224007,-1.6112977,-1.9033904,9.066842
Accelerometer,7005224011,-1.5945383,-1.8890251,8.968679
Accelerometer,7005224016,-1.6472107,-1.8243817,9.074024
Accelerometer,7005224020,-1.6807296,-1.8459295,9.081207
Accelerometer,7005224023,-1.6639702,-1.9153614,9.279925
Accelerometer,7005224027,-1.4820108,-1.8962077,9.217676
Gyroscope,7005224033,-0.5520733,-0.11558119,-0.08495484
Accelerometer,7005224036,-1.2856863,-1.8986019,8.9998045
Accelerometer,7005224050,-1.1947067,-2.1188686,9.038112
Accelerometer,7005224061,-1.2665327,-2.4995465,9.356541
Accelerometer,7005224072,-1.2976574,-2.8179753,9.935937
Accelerometer,7005224081,-1.2904748,-3.0909145,10.45069
Accelerometer,7005224085,-1.340753,-3.1531637,10.790668
Gyroscope,7005224088,-0.737163,0.104928546,-0.028229509
Accelerometer,7005224092,-1.3742718,-2.9951463,10.785878
Accelerometer,7005224096,-1.3838485,-2.5115175,10.496181
Accelerometer,7005224100,-1.340753,-1.9871874,9.967062
Accelerometer,7005224103,-1.3910311,-1.5729905,9.569624
Accelerometer,7005224107,-1.4652514,-1.3431472,9.363723
Accelerometer,7005224111,-1.673547,-1.7310078,9.129091
Gyroscope,7005224114,-0.6993461,0.22264028,-0.14434333
Accelerometer,7005224119,-1.733402,-2.0829554,9.155427
Accelerometer,7005224122,-1.8770541,-2.6144683,9.44752
Accelerometer,7005224125,-2.0039468,-3.052607,9.287108
Accelerometer,7005224130,-2.0614076,-3.3399115,9.062054
Accelerometer,7005224139,-2.1260512,-3.205836,9.181764
Accelerometer,7005224171,-1.9991584,-2.348712,9.315839
Gyroscope,7005224179,0.1717739,-0.010120012,-0.16751283
Accelerometer,7005224184,-1.9129672,-2.0374656,9.272743
Accelerometer,7005224190,-1.7405846,-1.5251064,9.088389
Accelerometer,7005224200,-1.6041151,-1.3120226,8.820239
Accelerometer,7005224206,-1.5370775,-1.3910311,8.798691
Accelerometer,7005224220,-1.4796166,-1.5993267,8.892065
Accelerometer,7005224240,-1.460463,-2.1284454,8.930372
Gyroscope,7005224251,-0.16405073,-0.052996907,-0.3683152
Accelerometer,7005224272,-1.4867992,-2.372654,8.92319
Accelerometer,7005224280,-1.6112977,-3.0621839,8.643068
Accelerometer,7005224289,-1.8076223,-3.5913026,8.939949
Accelerometer,7005224292,-1.8842367,-3.7301662,9.433155
Accelerometer,7005224295,-1.7621324,-3.442862,9.677363
Accelerometer,7005224300,-1.6352397,-2.9257145,9.533711
Gyroscope,7005224303,0.24554345,-0.15020229,-0.40266997
Accelerometer,7005224306,-1.5801731,-2.7461493,9.524135
Accelerometer,7005224310,-1.3982137,-2.705448,9.289502
Accelerometer,7005224314,-1.3479356,-2.8778305,9.107543
Accelerometer,7005224319,-1.4556746,-3.2680852,9.244013
Accelerometer,7005224322,-1.6591818,-4.1659107,8.647857
Accelerometer,7005224333,-2.0398598,-4.699818,9.794679
Gyroscope,7005224344,0.07962852,-0.12250541,-0.4708469
Accelerometer,7005224357,-1.9273324,-4.5801077,10.19451
Accelerometer,7005224361,-1.4101849,-4.084508,10.424355
Accelerometer,7005224365,-1.1444284,-3.5936968,10.160992
Accelerometer,7005224369,-1.0247183,-3.1435869,9.68694
Accelerometer,7005224380,-1.0845734,-2.7629087,9.423578
Accelerometer,7005224389,-1.340753,-2.5570073,9.153033
Gyroscope,7005224393,-0.07856325,-0.026365295,-0.44661212
Accelerometer,7005224401,-1.4460979,-2.5737667,9.088389
Accelerometer,7005224408,-1.541866,-2.789245,9.021352
Accelerometer,7005224419,-1.4867992,-2.9759927,9.052477
Accelerometer,7005224429,-1.4030021,-2.9017725,9.0716305
Accelerometer,7005224439,-1.2689269,-2.6264393,8.880095
Accelerometer,7005224451,-1.0055647,-2.0709844,8.26239
Gyroscope,7005224468,-0.81545997,0.14407702,-0.69508505
Accelerometer,7005224471,-0.8738836,-1.8674773,8.080431
Accelerometer,7005224480,-0.7302315,-1.6017209,7.491457
Accelerometer,7005224485,-0.5650316,-1.4317327,7.2209125
Accelerometer,7005224489,-0.17238252,-1.1994951,6.859388
Accelerometer,7005224500,0.095768064,-1.2521675,6.457162
Accelerometer,7005224508,0.2777274,-1.3335704,6.131551
Gyroscope,7005224517,-2.7486486,0.54621434,-1.4037522
Accelerometer,7005224522,0.2753332,-1.5490485,5.9041014
Accelerometer,7005224529,-0.05746084,-2.0973208,5.628768
Accelerometer,7005224542,-0.521936,-3.0334535,5.7029886
Accelerometer,7005224555,-0.93134445,-4.4795513,5.935226
Accelerometer,7005224560,-1.1133038,-6.1004257,6.4068837
Accelerometer,7005224571,-1.0654198,-7.503428,7.1610575
Gyroscope,7005224582,-4.380634,1.0402308,-1.813879
Accelerometer,7005224589,-0.8690952,-8.4826565,7.503428
Accelerometer,7005224596,-0.6943185,-8.937555,7.290344
Accelerometer,7005224601,-0.47165772,-8.50181,6.6726403
Accelerometer,7005224613,-0.31603462,-7.589619,6.0046577
Accelerometer,7005224622,-0.14604631,-6.8210807,5.1571107
Accelerometer,7005224631,0.007182605,-6.315904,4.55856
Gyroscope,7005224637,-2.7904603,1.0812434,-1.8208033
Accelerometer,7005224642,0.21308395,-6.1746464,4.024653
Accelerometer,7005224647,0.48362875,-6.1866174,4.1371803
Accelerometer,7005224661,0.6919243,-6.445191,3.5745432
Accelerometer,7005224668,0.8475474,-6.682217,2.8921957
Accelerometer,7005224676,0.9624691,-6.8929067,2.753332
Accelerometer,7005224691,1.1372458,-7.0724716,2.3343468
Gyroscope,7005224700,-5.005145,1.5419703,-1.7358484
Accelerometer,7005224705,1.4269443,-7.091625,1.9369092
Accelerometer,7005224712,1.8650831,-6.907272,1.5251064
Accelerometer,7005224717,2.15957,-6.9862804,0.35194764
Accelerometer,7005224730,2.0326772,-7.4866686,-0.7517793
Accelerometer,7005224735,1.8004397,-7.9631147,-0.5554548
Accelerometer,7005224750,1.9632454,-8.65025,0.02873042
Gyroscope,7005224757,-5.932458,2.060754,-1.6053536
Accelerometer,7005224764,2.336741,-9.524135,0.320823
Accelerometer,7005224769,2.8921957,-10.115502,0.40222588
Accelerometer,7005224780,3.514688,-9.883265,0.33997664
Accelerometer,7005224786,4.307169,-9.081207,0.08140286
Accelerometer,7005224802,5.0541596,-8.401254,-0.92176765
Accelerometer,7005224812,5.499481,-7.687782,-1.400608
Gyroscope,7005224818,-3.209908,2.2911174,-1.7805896
Accelerometer,7005224821,5.647922,-7.297527,-2.5139117
Accelerometer,7005224827,5.9064956,-7.326257,-2.9855695
Accelerometer,7005224838,6.007052,-7.9152308,-2.789245
Accelerometer,7005224848,5.861006,-8.801085,-2.3774424
Accelerometer,7005224855,5.9878983,-9.672575,-1.7932571
Accelerometer,7005224867,6.50744,-10.01734,-0.91937345
Gyroscope,7005224872,-2.5025725,2.4754083,-2.0602214
Accelerometer,7005224880,7.1347213,-9.797073,-0.6344634
Accelerometer,7005224897,7.666234,-9.308656,-0.9576807
Accelerometer,7005224910,7.8984714,-8.374918,-1.2785037
Accelerometer,7005224917,8.257602,-7.6255326,-1.8219875
Accelerometer,7005224927,8.74123,-7.6111674,-2.2002714
Accelerometer,7005224931,9.064447,-7.831434,-1.9536686
Gyroscope,7005224940,-0.67005134,2.4282703,-2.5563684
Accelerometer,7005224951,9.531317,-8.109161,-1.5346833
Accelerometer,7005224957,10.0748005,-8.267179,-1.1540052
Accelerometer,7005224979,10.635044,-8.384495,-1.2354081
Accelerometer,7005224987,11.166556,-8.130709,-1.4269443
Accelerometer,7005224995,11.405977,-7.7572136,-1.8028339
Accelerometer,7005224999,11.48738,-7.457938,-1.7022774
Gyroscope,7005225005,-0.2695119,2.589924,-2.6027074
Accelerometer,7005225010,11.628637,-7.2951326,-1.5634137
Accelerometer,7005225015,11.777079,-7.630321,-1.1420342
Accelerometer,7005225020,12.026075,-7.9966335,-0.59136784
Accelerometer,7005225026,12.4785795,-8.300697,-0.22266077
Accelerometer,7005225043,13.074736,-8.437167,0.088585466
Accelerometer,7005225049,13.862428,-7.9870567,0.18914193
Gyroscope,7005225055,0.20106867,2.644519,-2.6703517
Accelerometer,7005225061,14.449007,-7.45315,-0.31124622
Accelerometer,7005225067,14.623784,-7.005434,-0.6488287
Accelerometer,7005225080,14.654908,-6.5744777,-0.7278373
Accelerometer,7005225086,14.69561,-6.50744,-0.6560113
Accelerometer,7005225096,14.8272915,-6.4906807,-0.36391866
Accelerometer,7005225109,14.798561,-6.6726403,-0.23463176
Gyroscope,7005225116,-0.25699505,2.9406626,-2.7004454
Accelerometer,7005225130,14.592659,-6.7564373,0.12928689
Accelerometer,7005225134,14.398729,-6.603208,0.5722142
Accelerometer,7005225138,14.140155,-6.4380083,0.6967127
Accelerometer,7005225149,13.934254,-6.1411276,0.60573304
Accelerometer,7005225159,13.730747,-5.770026,0.5530606
Accelerometer,7005225169,13.417107,-5.571307,0.50996494
Gyroscope,7005225178,-0.567786,3.1523838,-2.355566
Accelerometer,7005225182,13.043611,-5.535394,0.6368576
Accelerometer,7005225187,12.708423,-5.470751,0.8451532
Accelerometer,7005225199,12.35887,-5.4563856,0.7589619
Accelerometer,7005225208,11.858481,-5.41329,0.6560113
Accelerometer,7005225213,11.429919,-5.145139,0.58897364
Accelerometer,7005225228,11.123461,-4.685453,0.4261679
Gyroscope,7005225234,-0.75394094,3.2277513,-1.9590213
Accelerometer,7005225242,10.737994,-4.4244847,0.059855044
Accelerometer,7005225250,10.307038,-4.3263226,-0.2896984
Accelerometer,7005225259,9.768343,-4.1156325,-0.34955344
Accelerometer,7005225267,9.399636,-4.0294414,-0.40222588
Accelerometer,7005225273,9.050082,-4.0916905,-0.581791
Accelerometer,7005225292,8.652645,-3.9983168,-0.7398083
Gyroscope,7005225296,-0.86685896,2.8836708,-1.499626
Accelerometer,7005225299,8.271967,-3.9121256,-0.9864111
Accelerometer,7005225304,7.908048,-3.8953662,-1.292869
Accelerometer,7005225318,7.4842744,-3.86903,-1.5298948
Accelerometer,7005225327,7.067683,-3.8187518,-1.6328455
Accelerometer,7005225333,6.612785,-3.7229836,-1.697489
Accelerometer,7005225347,6.05733,-3.7301662,-1.7549498
Gyroscope,7005225357,-0.6087986,1.9760655,-1.1941614
Accelerometer,7005225369,5.403713,-3.7900212,-1.7669208
Accelerometer,7005225376,4.7860093,-3.7469256,-1.9009962
Accelerometer,7005225381,4.355053,-3.6008794,-2.123657
Accelerometer,7005225392,4.1276035,-3.5170822,-2.5139117
Accelerometer,7005225398,3.9983168,-3.3375173,-2.837129
Accelerometer,7005225410,3.9312792,-3.1842883,-3.2824504
Gyroscope,7005225425,-0.009853696,0.80747044,-0.7613978
Accelerometer,7005225429,3.9121256,-3.0693667,-3.5745432
Accelerometer,7005225433,3.9264908,-2.9951463,-3.7373488
Accelerometer,7005225437,3.9264908,-2.8802247,-3.7373488
Accelerometer,7005225448,3.9935284,-2.873042,-3.7541082
Accelerometer,7005225457,4.0557775,-2.9376855,-3.6631286
Accelerometer,7005225467,4.1922474,-3.1723173,-3.6870706
Gyroscope,7005225476,-0.63436496,-0.49774483,-0.16484967
Accelerometer,7005225479,4.295198,-3.4835634,-3.6391866
Accelerometer,7005225484,4.5274353,-3.7325604,-3.4955344
Accelerometer,7005225495,4.8147397,-4.0916905,-3.3446999
Accelerometer,7005225503,4.9919105,-4.5058875,-3.2010477
Accelerometer,7005225511,5.1547165,-4.8267107,-3.241749
Accelerometer,7005225525,5.3127337,-5.106832,-3.3375173
Gyroscope,7005225533,-0.50333744,-1.865278,0.3107909
Accelerometer,7005225540,5.645528,-5.233725,-3.5218706
Accelerometer,7005225544,6.2512608,-5.2504845,-3.8426938
Accelerometer,7005225551,7.053318,-5.245696,-4.3167458
Accelerometer,7005225564,7.78355,-5.2887917,-4.879383
Accelerometer,7005225576,8.468291,-5.60722,-5.3678
Accelerometer,7005225583,9.399636,-6.634333,-5.5856724
Gyroscope,7005225587,-1.2751216,-3.09699,1.194694
Accelerometer,7005225592,10.601525,-8.003817,-5.473145
Accelerometer,7005225606,12.066776,-9.28232,-5.032612
Accelerometer,7005225613,13.4195,-10.477027,-4.4077253
Accelerometer,7005225626,14.5328045,-11.733982,-4.498705
Accelerometer,7005225632,15.05474,-12.5264635,-4.7524905
Accelerometer,7005225647,15.442601,-12.782643,-5.3582234
Gyroscope,7005225657,-0.8460863,-4.539358,1.990713
Accelerometer,7005225663,15.959748,-12.907142,-6.1411276
Accelerometer,7005225670,16.773777,-13.280637,-6.8785415
Accelerometer,7005225674,18.152838,-13.876793,-7.4483614
Accelerometer,7005225690,19.716251,-14.4130945,-7.9726915
Accelerometer,7005225696,20.925323,-14.726735,-8.413225
Accelerometer,7005225705,21.66513,-14.96376,-8.834604
Gyroscope,7005225712,-0.14354439,-5.963617,3.235741
Accelerometer,7005225715,21.962011,-15.516821,-9.3182335
Accelerometer,7005225726,22.127213,-16.409859,-9.576807
Accelerometer,7005225732,22.014685,-17.33402,-10.146626
Accelerometer,7005225745,22.021868,-17.891869,-10.9582615
Accelerometer,7005225753,22.610842,-18.049887,-12.028469
Accelerometer,7005225778,23.774424,-18.361134,-12.72997
Gyroscope,7005225790,-0.11025487,-7.3657713,4.747351
Accelerometer,7005225810,25.076868,-18.83279,-13.215993
Accelerometer,7005225825,25.986666,-19.1177,-13.352463
Accelerometer,7005225837,25.637112,-19.227835,-13.445837
Accelerometer,7005225860,24.418463,-18.521544,-13.141773
Accelerometer,7005225869,22.919693,-17.72667,-13.280637
Accelerometer,7005225874,21.109676,-16.996437,-13.445837
Gyroscope,7005225878,-0.06950851,-7.0022497,5.0496197
Accelerometer,7005225883,19.64682,-16.340427,-13.476961
Accelerometer,7005225894,19.876663,-16.52478,-13.852851
Accelerometer,7005225900,20.700268,-16.089035,-12.715605
Accelerometer,7005225906,17.77216,-15.157691,-11.530476
Accelerometer,7005225910,15.05474,-14.98052,-11.599907
Accelerometer,7005225914,16.481684,-14.829685,-11.851298
Gyroscope,7005225922,-0.16538231,-6.9593725,5.3846455
Accelerometer,7005225929,17.559074,-13.761871,-11.473015
Accelerometer,7005225934,14.17128,-11.580753,-9.832987
Accelerometer,7005225937,11.039664,-10.594342,-9.713276
Accelerometer,7005225942,10.520123,-10.704475,-9.358934
Accelerometer,7005225945,9.337387,-9.557653,-7.445967
Accelerometer,7005225949,7.2664022,-8.647857,-6.591237
Gyroscope,7005225953,-0.08362326,-5.7020946,4.680239
Accelerometer,7005225956,6.421249,-8.456321,-6.3805475
Accelerometer,7005225960,6.823475,-8.173804,-6.3063273
Accelerometer,7005225975,6.564901,-7.192182,-5.451597
Accelerometer,7005225989,5.389348,-6.4260373,-4.9057193
Accelerometer,7005225993,4.5154643,-5.8681884,-4.6112323
Accelerometer,7005226006,4.0653543,-5.2887917,-4.0533834
Gyroscope,7005226011,0.07350325,-5.050685,4.066647
Accelerometer,7005226018,3.6894648,-4.72376,-3.6296098
Accelerometer,7005226023,3.3039982,-4.426879,-3.0478187
Accelerometer,7005226034,2.8179753,-4.048595,-2.3080103
Accelerometer,7005226040,2.2385786,-3.2800562,-1.4939818
Accelerometer,7005226057,1.7764976,-2.6623523,-0.89543146
Accelerometer,7005226068,1.5035586,-1.5394717,-0.37349546
Gyroscope,7005226073,0.055926383,-4.3803673,3.5246937
Accelerometer,7005226077,3.442862,-1.7908629,-1.0726024
Accelerometer,7005226082,1.3431472,-2.7341783,1.3862427
Accelerometer,7005226093,-3.2968156,-1.6089035,3.3207579
Accelerometer,7005226104,-2.5258827,-0.92176765,2.8299465
Accelerometer,7005226109,1.6879122,-1.8028339,1.5298948
Accelerometer,7005226121,-1.2545617,-0.60333884,4.268862
Gyroscope,7005226125,0.12863068,-3.2184303,2.5523736
Accelerometer,7005226135,-2.5330653,0.46686932,3.430891
Accelerometer,7005226140,-0.31603462,0.5626374,2.9113493
Accelerometer,7005226152,0.04070143,2.231396,3.9504328
Accelerometer,7005226159,-0.2873042,2.6408045,4.357447
Accelerometer,7005226172,-1.0223241,3.1004913,4.7884035
Accelerometer,7005226183,-1.6304513,3.1196449,4.8338933
Gyroscope,7005226188,-0.12756541,-2.2431805,1.835717
Accelerometer,7005226191,-1.8555063,2.7341783,5.118803
Accelerometer,7005226202,-2.717419,2.6192567,5.74369
Accelerometer,7005226208,-2.8299465,2.5713725,6.136339
Accelerometer,7005226222,-1.7884687,2.896984,6.337452
Accelerometer,7005226253,-3.2106245,2.8179753,6.3087215
Accelerometer,7005226259,-4.6279917,2.9855695,6.706159
Gyroscope,7005226263,-0.08016115,-1.5986956,1.0263823
Accelerometer,7005226270,-4.9703627,2.8538885,7.144298
Accelerometer,7005226273,-3.9001546,3.2728736,7.4028716
Accelerometer,7005226276,-3.490746,3.5194764,7.297527
Accelerometer,7005226281,-3.1028855,4.0940847,7.1514807
Accelerometer,7005226291,-3.0214825,4.6255975,6.6534867
Accelerometer,7005226300,-3.916914,4.84347,6.5816603
Gyroscope,7005226304,0.5701828,-0.7241135,0.3075951
Accelerometer,7005226309,-4.76925,4.9344497,6.5577183
Accelerometer,7005226319,-4.8985367,4.5992613,6.8809357
Accelerometer,7005226327,-4.225766,4.2904096,7.156269
Accelerometer,7005226342,-3.857059,4.2305546,7.252037
Accelerometer,7005226351,-3.86903,4.084508,7.0724716
Accelerometer,7005226359,-3.940856,3.9791632,7.026982
Gyroscope,7005226364,0.28788772,0.11771172,-0.37577203
Accelerometer,7005226380,-3.7972038,3.9983168,7.1993647
Accelerometer,7005226384,-3.5673606,3.821146,7.1131735
Accelerometer,7005226388,-3.655946,3.5290532,7.062895
Accelerometer,7005226399,-3.7301662,3.4979286,6.8809357
Accelerometer,7005226406,-3.5051112,3.6128504,6.7468605
Accelerometer,7005226421,-3.1268275,3.7229836,6.612785
Gyroscope,7005226432,0.45007423,0.778442,-1.0626013
Accelerometer,7005226438,-2.681506,3.9240966,6.603208
Accelerometer,7005226441,-2.384625,4.0797195,6.361394
Accelerometer,7005226446,-2.255338,4.31914,6.1411276
Accelerometer,7005226458,-2.042254,4.4196963,6.0142345
Accelerometer,7005226467,-1.6041151,4.462792,5.791574
Accelerometer,7005226486,-1.0342951,4.4556093,5.303157
Gyroscope,7005226492,0.3009372,1.8690065,-2.0591562
Accelerometer,7005226501,-0.59855044,4.381389,4.960786
Accelerometer,7005226507,-0.4285621,4.1635165,4.594473
Accelerometer,7005226513,-0.16998832,3.715801,4.3837833
Accelerometer,7005226517,0.24181437,3.2034419,4.197036
Accelerometer,7005226528,0.46208093,2.8898015,3.9839516
Accelerometer,7005226538,0.6943185,2.3750482,3.3854012
Gyroscope,7005226541,-0.21864553,3.41364,-3.1619713
Accelerometer,7005226549,0.90021986,1.5155296,2.954445
Accelerometer,7005226562,1.1827357,0.7781156,2.7365725
Accelerometer,7005226568,1.3814543,-0.31124622,2.0207062
Accelerometer,7005226587,1.4030021,-1.3934253,1.1875241
Accelerometer,7005226598,1.3431472,-2.135628,0.23702596
Accelerometer,7005226601,1.4891934,-2.6001031,-0.5722142
Gyroscope,7005226605,-0.3155846,4.8613343,-4.0677123
Accelerometer,7005226610,1.6879122,-3.2345665,-1.376666
Accelerometer,7005226619,1.7669208,-3.8283286,-2.4372973
Accelerometer,7005226626,1.7357962,-4.27365,-3.1435869
Accelerometer,7005226640,1.8698715,-5.068525,-4.1132383
Accelerometer,7005226649,2.1547816,-5.746084,-4.3742065
Accelerometer,7005226657,2.7006595,-6.6510925,-4.711789
Gyroscope,7005226662,-0.7126619,5.5012918,-4.744954
Accelerometer,7005226681,3.371036,-7.3166804,-5.0757074
Accelerometer,7005226686,3.9097314,-8.305486,-6.315904
Accelerometer,7005226695,4.096479,-10.0341,-8.032547
Accelerometer,7005226702,4.3406878,-10.91756,-8.4347725
Accelerometer,7005226706,5.365406,-10.788273,-8.298303
Accelerometer,7005226718,6.655881,-10.953473,-8.868123
Gyroscope,7005226731,-0.41758367,5.4403057,-5.015265
Accelerometer,7005226736,7.386112,-11.796232,-10.304645
Accelerometer,7005226740,7.627927,-12.641385,-11.154586
Accelerometer,7005226745,7.8529816,-13.63019,-11.291056
Accelerometer,7005226756,8.145074,-14.106636,-10.673351
Accelerometer,7005226766,7.93199,-14.65012,-10.117896
Accelerometer,7005226782,8.880095,-15.741877,-10.6637745
Gyroscope,7005226790,0.0561927,5.1734567,-4.996889
Accelerometer,7005226802,10.115502,-15.478514,-10.34774
Accelerometer,7005226809,10.766725,-15.116989,-10.723629
Accelerometer,7005226830,11.243171,-15.243882,-10.589554
Accelerometer,7005226837,11.449073,-15.497667,-9.921572
Accelerometer,7005226841,11.544841,-16.596605,-9.92636
Accelerometer,7005226847,11.274296,-17.666815,-9.064447
Gyroscope,7005226851,0.4428837,4.715393,-4.9303102
Accelerometer,7005226858,11.796232,-17.764977,-8.949526
Accelerometer,7005226862,12.981361,-17.592594,-9.528923
Accelerometer,7005226867,14.566323,-17.051504,-9.423578
Accelerometer,7005226879,15.19121,-16.17762,-9.141062
Accelerometer,7005226885,14.896723,-15.725117,-9.129091
Accelerometer,7005226901,13.996503,-15.610195,-8.228871
Gyroscope,7005226910,0.6287723,4.541755,-4.619519
Accelerometer,7005226919,14.032416,-15.658079,-7.2352777
Accelerometer,7005226926,14.944607,-15.667656,-6.95755
Accelerometer,7005226930,15.650896,-15.337256,-7.0844426
Accelerometer,7005226936,15.442601,-14.15452,-6.7253127
Accelerometer,7005226950,15.452178,-13.201628,-6.528988
Accelerometer,7005226961,15.85201,-12.53604,-5.770026
Gyroscope,7005226966,0.17603496,4.5175204,-3.4123085
Accelerometer,7005226970,16.294937,-12.483368,-5.2145715
